Removed Pin From Net: NetName=NetJ1_Module 1_2 Pin=J1_Module 2-1
Added Pin To Net: NetName=NetJ1_Module 1_1 Pin=J1_Module 2-1
Added Pin To Net: NetName=Vin_Module 3 Pin=J1_Module 2-2
Added Pin To Net: NetName=NetJ1_Module 1_1 Pin=J1_Module 3-1
Added Pin To Net: NetName=Vin_Module 4 Pin=J1_Module 3-2
Added Pin To Net: NetName=NetJ1_Module 1_1 Pin=J1_Module 4-1
Added Pin To Net: NetName=Vin_Module 5 Pin=J1_Module 4-2
Added Pin To Net: NetName=NetJ1_Module 1_1 Pin=J1_Module 5-1
Added Pin To Net: NetName=Vin_Module 6 Pin=J1_Module 5-2
Added Pin To Net: NetName=NetJ1_Module 1_1 Pin=J1_Module 6-1
Added Pin To Net: NetName=Vin_Module 7 Pin=J1_Module 6-2
Added Pin To Net: NetName=NetJ1_Module 1_1 Pin=J1_Module 7-1
Added Pin To Net: NetName=Vin_Module 8 Pin=J1_Module 7-2
Added Pin To Net: NetName=NetJ1_Module 1_1 Pin=J1_Module 8-1
Added Pin To Net: NetName=Vin_Module 9 Pin=J1_Module 8-2
Added Pin To Net: NetName=NetJ1_Module 1_1 Pin=J1_Module 9-1
Added Pin To Net: NetName=Vin_Module 10 Pin=J1_Module 9-2
Added Pin To Net: NetName=NetJ1_Module 1_1 Pin=J1_Module 10-1
